Island;Loc.ID;Locations;type;type01;included;species.pedro;altitude;Lat.X;Long.Y;Geological_series;Geological_unit;paleo;Ages_unit;MaxAge_Island;Comments
C;CM07;Palmital, Brezal del;MSS;MSS;yes;5;532;28.1102667;-15.6007029;Miocene;Gran Canaria Felsic Vulcanism, N;;14-8.3 Ma;15;
C;CC02;Arrepentidos, C. de los ;cave;cave;yes;4;971;27.91451411;-15.5261543;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC04;Azuaje, Mina de ;mine;cave;yes;2;424;28.08687635;-15.5736709;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC05;Bebeideja, Mina;mine;cave;yes;5;140;28.13031374;-15.5311249;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC06;Bucios, C. de ;cave;cave;yes;1;1424;27.94732298;-15.5344557;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC09;Federica, Mina La ;mine;cave;yes;13;428;27.98347091;-15.4638892;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC10;Ingenio, Cueva de ;cave;cave;yes;1;416;27.92463269;-15.4499783;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC11;Llanetes, Mina;mine;cave;yes;9;395;27.98684203;-15.4811201;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC12;Luna, C. de La ;cave;cave;yes;4;910;27.91031956;-15.5300565;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC13;Montañón Negro, C. de ;cave;cave;yes;2;1445;28.03371153;-15.6063711;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
C;CC14;Pozo de las Nieves, C. del ;cave;cave;yes;1;1912;27.96286355;-15.571438;Pliocene-Pleistocene;Gran Canaria, Rift Vulcanism, N;;3.6-1.6 Ma;15;
