type;ID;Included;Order;Group;name;Species;Island;paleo;Locality;Loc.ID;Type;group;group01;group02
Troglo;-;no;Isopoda;Isopoda;fuerteventurae;Maghreboniscus n. sp.;C;C;Aslobas, Cueva de;CC03;cave;CC03.cave;C.cave;
Troglo;-;no;Coleoptera;Hexapoda;Baezia_litoralis;Baezia litoralis Zarazaga & García, 1999;T;T;Bajamar subsuelo;.;;..;T.;
Troglo;-;no;Araneae;Arachnida;Macarophaeus_nsp;Macarophaeus n. sp. ;C;C;Bebeideja, Mina de;CC05;cave;CC05.cave;C.cave;
Troglo;-;no;Glomerida;Myriapoda;Glomeris_nsp1;Glomeris n.sp. 2        ;C;C;Bebeideja, Mina de;CC05;cave;CC05.cave;C.cave;
Troglo;-;no;Araneae;Arachnida;Macarophaeus_nsp;Macarophaeus n. sp. ;C;C;Berrazales MSS, Los;CM01;mss;CM01.mss;C.mss;
Troglo;-;no;Blattaria;Hexapoda;Loboptera_sp.;Loboptera sp. ;T;T;Blanca MSS, Montaña;TM10;mss;TM10.mss;T.mss;
Troglo;-;no;Blattaria;Hexapoda;Loboptera_sp.;Loboptera sp. ;T;T;Chajaña, Cueva de (JLME tesis);TC05;cave;TC05.cave;T.cave;
Troglo;-;no;Hemiptera;Hexapoda;Cixius_nsp2-life;Cixius n. sp. 2 - life    (Crucita);P;P;Crucita, Cueva de la;PC14;cave;PC14.cave;P.cave;
Troglo;-;no;Araneae;Arachnida;Pholcomma_gibbum;Pholcomma cf. gibbum (Westring, 1851);H;H;Derrabado MSS, Pista del;HM06;mss;HM06.mss;H.mss;
Troglo;-;no;Coleoptera;Hexapoda;Alevonota_palmi;Alevonota palmi (Franz, 1981);P;P;Diablo de Barlovento, Cueva del;PC16;cave;PC16.cave;P.cave;
Troglo;-;no;Chilopoda;Myriapoda;Cryptops_nsp1;Cryptops n. sp. 1;H;H;Don Justo, Cueva de;HC02;cave;HC02.cave;H.cave;
Troglo;-;no;Araneae;Arachnida;Macarophaeus_nsp;Macarophaeus n. sp. ;C;C;Draguillo MSS, Bco. del;CM03;mss;CM03.mss;C.mss;
Troglo;-;no;Julida;Myriapoda;Dolichoiulus_sp.;Dolichoiulus sp.;C;C;Fataga, Mina de;CC08;cave;CC08.cave;C.cave;
Troglo;-;no;Isopoda;Isopoda;Trichoniscus_bassoti;Trichoniscus bassoti Vandel, 1960;T;T;Fea de Arico, Cueva de;TC09;cave;TC09.cave;T.cave;
Troglo;-;no;Araneae;Arachnida;Macarophaeus_nsp;Macarophaeus n. sp. ;C;C;Federica, Mina la;CC09;cave;CC09.cave;C.cave;
Troglo;-;no;Entomobryomorpha;Collembola;Troglopedetes_cavernicola;Troglopedetes cavernicolus Delamare, 1944;T;T;Felipe Reventón, Cueva de;TC10;cave;TC10.cave;T.cave;
Troglo;-;no;Entomobryomorpha;Collembola;Troglopedetes_vandeli;Troglopedetes vandeli Cassagnau &Delamare, 1951;T;T;Felipe Reventón, Cueva de;TC10;cave;TC10.cave;T.cave;
Troglo;-;no;Isopoda;Isopoda;Trichoniscus_bassoti;Trichoniscus bassoti Vandel, 1960;T;T;Felipe Reventón, Cueva de;TC10;cave;TC10.cave;T.cave;
Troglo;-;no;Hemiptera;Hexapoda;Cixius_palmirandus;Cixius palmirandus n.sp.;P;P;Honda de Miranda, Cueva;PC25;cave;PC25.cave;P.cave;
Troglo;-;no;Isopoda;Isopoda;Trichoniscus_bassoti;Trichoniscus bassoti Vandel, 1960*;P;P;Hoya Grande-Bco. del Fraile MSS;PM13;mss;PM13.mss;P.mss;
Troglo;-;no;Araneae;Arachnida;Eidmanella_pallida;Eidmanella pallida (Emerton, 1875);T;T;Hoya San Felipe, Cueva de la;TC14;cave;TC14.cave;T.cave;
Troglo;-;no;Araneae;Arachnida;Robertus ?_sp_2;Robertus ? sp. 2;P;P;Hoyo de la Sima;PC27;cave;PC27.cave;P.cave;
Troglo;-;no;Isopoda;Isopoda;Trichoniscus_bassoti;Trichoniscus bassoti Vandel, 1960;T;T;Labrada, Cueva;TC15;cave;TC15.cave;T.cave;
Troglo;-;no;Chilopoda;Myriapoda;Cryptops_nsp1;Cryptops n. sp. 1;H;H;Lajial, Cueva del;HC07;cave;HC07.cave;H.cave;
Troglo;-;no;Polydesmida;Myriapoda;Trichopolydesmidae cf_sp.;gen. sp. indet;C;C;Llanetes, Mina de los (Valsequillo);CC11;cave;CC11.cave;C.cave;
Troglo;-;no;Isopoda;Isopoda;Armadillidae_sp.;Armadillidae sp. indet. - life    ???;P;P;Llano de los Caños, Cueva del;PC31;cave;PC31.cave;P.cave;
Troglo;-;no;Isopoda;Isopoda;Trichoniscus_bassoti;Trichoniscus bassoti Vandel, 1960;P;P;Llano Negro MSS;PM18;mss;PM18.mss;P.mss;
Troglo;-;no;Isopoda;Isopoda;n. gen._nsp;N. gen. cf. n.sp.;F;F;Llano, Cueva del (Villaverde);FC02;cave;FC02.cave;F.cave;
Troglo;-;no;Araneae;Arachnida;Robertus ?_sp_1;Robertus ? sp. 1;H;H;Longueras, Cueva de;HC10;cave;HC10.cave;H.cave;
Troglo;-;no;Hemiptera;Hexapoda;Cixius_nsp1;Cixius n.sp. 1;H;H;Longueras, Cueva de;HC10;cave;HC10.cave;H.cave;
